Orderdate,Continueddate,ITCcaseNo,DOCNo,ADCVD,ReviewSequenceGroupNo,ProductGroup,Product,Country,Column2,Column3,FedReg,Pubdate,Link,Column1,Column12,active
2008/8/5,2014/6/23,A-1118,A-570-914,A,146,ISP,Light-walled rectangular pipe and tube,China,,,85 FR 47169,  8/4/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-04/pdf/2020-16871.pdf,,,1
2008/8/7,2014/3/26,A-1122,A-570-916,A,149,TX,Laminated woven sacks,China,,,84 FR 45128, 8/28/2019,https://www.govinfo.gov/content/pkg/FR-2019-08-28/pdf/2019-18598.pdf,,,1
2008/10/6,2014/3/11,A-1123,A-570-918,A,153,ISO,Steel wire garment hangers,China,,,84 FR 45127, 8/28/2019,https://www.govinfo.gov/content/pkg/FR-2019-08-28/pdf/2019-18599.pdf,http://www.gpo.gov/fdsys/pkg/FR-2014-03-28/pdf/2014-06713.pdf,,1
2008/10/7,2015/1/9,A-1125,A-570-919,A,154,CH,Electrolytic manganese dioxide,China,,,85 FR 40970,  7/7/2020,https://www.govinfo.gov/content/pkg/FR-2020-07-08/pdf/2020-14681.pdf,,,1
2008/11/24,2015/1/30,A-1126,A-570-920,A,156,AG,Lightweight thermal paper,China,,,85 FR 40249,  7/6/2020,https://www.govinfo.gov/content/pkg/FR-2020-07-06/pdf/2020-14437.pdf,,,1
2008/11/10,2015/2/6,A-1132,A-570-924,A,155,PRSG,"Polyethylene terephthalate film, sheet, and strip",China,,,85 FR 55412,  9/8/2020,http://www.gpo.gov/fdsys/pkg/FR-2015-02-06/pdf/2015-02456.pdf,,,1
2009/2/19,2014/4/23,A-1140,A-570-928,A,157,MSC,Uncovered innerspring units,China,,,79 FR 22624, 4/23/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-04-23/pdf/2014-09275.pdf,,,1
2009/2/26,2014/6/23,A-1143,A-570-929,A,159,MSC,Small diameter graphite electrodes,China,,,85 FR 19134,04/062020,https://www.govinfo.gov/content/pkg/FR-2020-04-06/pdf/2020-07150.pdf,,,1
2009/3/17,2014/7/23,A-1144,A-570-930,A,160,ISP,Circular welded austenitic stainless pressure pipe,China,,,84 FR 66883, 12/2/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-06/pdf/2019-26359.pdf,,,1
2009/4/14,2020/3/3,A-1145,A-570-932,A,161,ISO,Steel threaded rod,China,,,85 FR 13625,  3/9/2020,https://www.govinfo.gov/content/pkg/FR-2019-11-29/pdf/2019-25888.pdf,,,1
2009/4/28,2014/4/28,A-1148,A-570-933,A,163,MSC,Frontseating service valves,China,,,79 FR 27573, 5/14/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-05-14/pdf/2014-11136.pdf,,,0
2009/4/28,2014/6/2,A-1146,A-570-934,A,162,CH,HEDP,China,,,79 FR 31301,  6/2/2014,http://www.gpo.gov/fdsys/pkg/FR-2014-06-02/pdf/2014-12728.pdf,,,0
2009/5/13,2014/5/20,A-1149,A-570-935,A,158,ISP,Circular welded carbon quality steel line pipe,China,,,84 FR 52456, 9/25/2019,http://www.gpo.gov/fdsys/pkg/FR-2014-05-20/pdf/2014-11682.pdf,,,1
2009/5/29,2015/6/24,A-1152,A-570-937,A,164,CH,Citric acid and certain citrate,China,,,80 FR 36318, 6/24/2015,https://www.govinfo.gov/content/pkg/FR-2015-06-24/pdf/2015-15399.pdf,,,1
2009/8/3,2015/2/4,A-1153,A-570-939,A,165,ME,Tow Behind Lawn Groomer,China,,,85 FR 46586,  8/3/2020,https://www.govinfo.gov/content/pkg/FR-2020-08-03/pdf/2020-16692.pdf,,,1
